21
N;12345678;111111;1;30
P;87654321;222222;2;2.1
N;12345679;111611;12;3
P;87654325;222622;2;2.11
P;87654325;232622;1;23.11
P;97654325;222622;2;2.11
P;97654325;232622;1;23.11
P;97654325;222622;22;2.11
P;87654325;232629;1;23.11
P;97654325;222628;2;2.11
P;97654325;232627;1;23.11
P;97654325;222626;2;2.11
P;87654325;232626;1;23.11
P;97654310;222627;2;2.11
P;97654325;232623;1;23.11
P;97654325;222620;2;2.11
P;97654325;222630;12;2.11
P;97654325;232630;11;23.11
P;97654325;222630;10;2.11
P;97654325;232630;9;23.11
P;97654325;222630;8;2.11
